wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
monolith,34,42,94.8,7.1,55.68432,37.44654,38997180
panel,9,9,44.9,6.4,55.58006091,37.6623825,9999999
monolithBrick,14,29,79,6.6,55.67404,37.64452,38935782
panel,16,17,43,10,55.57166,37.47511501,9900000
panel,8,9,45,6,55.70897694,37.47986177,12000000
monolith,10,20,36,11.9,55.77438,37.47205,25500000
panel,2,16,46,12,55.72626964,37.39135638,12890000
monolithBrick,7,13,78.5,10.5,55.53423,37.52838,19600000
monolith,14,25,46.5,16,55.71471324,37.47422664,30000000
block,2,14,35,10,55.87544497,37.55769927,10850000
monolith,3,7,126.9,14.2,55.74834761,37.62181657,241110000
monolith,50,55,42.3,21.5,55.79743002,37.61488007,28000000
monolithBrick,13,14,52,28.1,55.60782331,37.52544712,17680000
panel,8,9,38,6,55.66473,37.56135,13900000
monolith,3,18,89.9,7,55.76159001,37.55411001,79000000
monolith,17,24,45.9,12,55.59768,37.67118,11990000
monolith,15,20,38,11,55.75348539,37.51618462,21000000
monolith,2,32,72,27,55.7503,37.46887,37000000
monolith,6,40,103,35,55.66643998,37.54745,59500000
monolith,34,35,41.88,15.8,55.7590326,37.55900032,25054600
monolith,15,28,60,12,55.71848271,37.42892825,27000000
brick,2,5,31,6,55.82806998,37.45205003,11000000
monolith,2,22,72,10,55.81271002,37.64778004,40950000
monolith,14,26,109.87,38.2,55.74943,37.62371,71019968
block,2,9,43.8,6.7,55.71606213,37.40364803,11500000
monolith,8,20,55.82,18.5,55.92480567,37.52886511,15238860
monolithBrick,2,24,62.5,18.8,55.63764348,37.39776308,16503062
monolith,4,13,61,10,55.76629799,37.59143318,49900000
monolith,2,30,37.3,18.6,55.72663024,37.68380133,14900000
monolith,11,20,70.2,8.2,55.89352,37.58139,19800000
panel,1,12,62.7,6.1,55.58995467,37.60581821,12490000
monolith,8,15,62.7,13,55.69967978,37.49347854,35500000
monolith,7,20,104,38,55.78624998,37.58651998,67000000
panel,3,17,40,8,55.62144999,37.30346001,10550000
monolith,20,22,37.6,10.7,55.57524,37.44965,10152000
monolith,6,22,65,13.5,55.81271002,37.64778004,36400000
panel,5,17,75,10,55.75117934,37.41964675,24000000
monolith,14,29,44.9,17.2,55.66268798,37.55361171,15310900
brick,4,4,44.3,8.6,55.72829,37.67057001,15000000
monolith,14,25,72,10,55.71497741,37.75076425,19000000
monolith,9,19,65.2,18.3,55.77244863,37.64631734,61288000
brick,8,17,78.2,12.3,55.69705481,37.54106252,32000000
block,3,16,65,14,55.69694738,37.63378209,29699999
brick,8,9,32,6,55.81518656,37.72347092,10200000
brick,5,14,100.7,10.7,55.73472001,37.61663004,72000000
brick,3,3,38.5,13,55.57524,37.44965,9500000
panel,10,22,76,13,55.80576818,37.76484522,17800000
monolith,6,16,78.83,15.3,55.57524,37.44965,15798939
monolith,11,14,160.8,57.8,55.7422816,37.62055053,434630000
panel,4,25,83,14.6,55.78535999,37.49096997,28200000
monolith,8,19,46.5,23,55.72417998,37.73281998,16500000
monolith,9,9,38.8,16.8,55.59911,37.35495,11860367
monolith,4,7,56.4,35,55.79845999,37.60220998,22000000
panel,11,17,74.1,10.2,55.86461,37.58535,20700000
monolith,31,53,82.5,16,55.79766958,37.50022075,49500000
panel,1,12,32,7,55.62401902,37.62327584,8499000
panel,1,14,34.7,9.4,55.76697002,37.8328828,10250000
monolith,15,16,39.4,16.1,55.57571,37.43331,11975375
monolith,3,18,32.8,8,55.84922802,37.61888596,9200000
monolith,12,12,33.07,11,55.57524,37.44965,8140776
brick,7,9,45,12,55.76999001,37.57305001,22000000
monolith,6,36,45.6,12.1,55.85937,37.69444,12654000
panel,9,17,75,12,55.62226002,37.30684998,16100000
brick,3,9,31.5,5.5,55.74852,37.76554,10200000
monolith,16,16,36,9,55.62217968,37.73034485,11000000
panel,1,9,35,6,55.73679502,37.39319503,12000000
brick,1,5,40,12,55.72767,37.76738997,11000000
brick,2,10,76.2,9.1,55.70792001,37.66034996,28900000
brick,1,5,62.8,11,55.41775,37.4049,10050000
block,2,9,32,6,55.78068159,37.74296114,10950000
monolith,20,21,53.9,15,55.78880584,37.47994888,21317450
panel,8,9,32.7,6.6,55.71778002,37.82574997,8200000
monolith,16,30,33.2,9.8,55.66667,37.5,10234503
block,5,5,32,6,55.79668001,37.82088998,9000000
monolithBrick,3,17,56,16,55.57524,37.44965,13500000
brick,6,9,38.1,5.8,55.84341429,37.44067837,11300000
