wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
2,6,9,44.7,6,55.89822999,37.61850004,10500000
,,,,,-1,-1,
,1,5,55,6,55.73381621,37.41563219,18100000
4,9,21,68.49,15.7,55.78811,37.53033,29747060
1,23,26,35.67,,55.82184268,37.601775,21330000
3,9,31,56,9,55.75918,37.58080997,49999000
,10,16,76,12,55.7883445,37.60045601,35000000
5,3,9,32,5.5,55.67388838,37.54392829,14700000
2,6,17,60.6,13.2,55.78430656,37.45902498,20300000
4,26,35,105,8,55.79850001,37.52066001,64000000
4,2,7,27,3,55.7374288,37.68932404,8400000
,5,24,51,,55.7807455,37.52573248,26700000
2,2,9,45,7,55.71215493,37.79771407,11200000
,,,,,-1,-1,
3,1,5,45.5,5.2,55.70434999,37.76357997,16200000
2,20,22,99.3,10,55.64038999,37.37183002,19950000
,3,9,72.6,9,55.76291,37.7319,17300000
1,24,32,43.7,21.8,55.7503,37.46887,24205430
1,11,13,50,11.7,55.72923723,37.63040219,29700000
1,9,38,42.2,14.7,55.843122,37.6365065,23500000
2,9,12,40.8,8.4,55.87548,37.72267997,10000000
2,6,14,76.6,10,55.68370293,37.86249884,17500000
1,24,51,41,13,55.7590326,37.55900032,27500000
3,2,4,64,7.8,55.7934,37.79123003,16990000
2,1,3,55,12,55.49901,36.92013001,7990000
1,23,23,68.5,,55.65045935,37.556977,43821500
1,9,44,42.2,,55.77022001,37.56383,26000000
4,11,13,88.2,17.6,55.57524,37.44965,24543200
1,10,23,53,,55.78263001,37.53182999,29000000
2,2,9,32.2,6,55.72059701,37.83482726,8250000
3,2,5,51.2,8,55.72428118,37.41592928,14550000
,24,29,76.4,,55.75679512,37.51790864,35000000
1,14,14,53.91,4.7,55.57524,37.44965,13216813
2,2,14,35.81,9.7,55.57524,37.44965,8583557
1,27,34,60.9,,55.75696,37.61502,28897050
1,2,15,74,15,55.80287188,37.5221071,38899999
5,5,9,36,6,55.72545001,37.43256998,13200000
1,4,23,47.1,3.2,55.85305375,37.60621196,11372582
1,3,12,34,8,55.65992234,37.52734568,17650000
1,18,35,44.2,7,55.85463999,37.47270999,21361799
,21,41,46,6,55.75679512,37.51790864,25500000
1,21,41,83,15,55.73196082,37.53921435,42000000
,7,9,60,7,55.69449677,37.81170161,16299000
1,8,25,88.6,15.8,55.56975,37.49129001,19200000
,3,17,36.4,9.2,55.49094865,37.30824051,7150000
,15,19,59.4,10.5,55.66867785,37.43923121,19200000
3,13,18,68,12,55.87280998,37.61586997,19700000
,23,42,86.7,22.8,55.66216194,37.57711937,36000000
4,3,45,42.8,6.4,55.72714,37.46578,33884987
3,4,9,30.8,5.7,55.71214998,37.73956003,10600000
2,5,9,51.6,6,55.88657998,37.51997001,13800000
2,1,17,74.2,10.2,55.71430642,37.40868318,16800000
1,2,9,46.4,12,55.48761,37.27764,8900000
,,,,,-1,-1,
1,4,9,32.6,,55.67841001,37.45278998,9800000
1,7,17,124,13,55.7913,37.59888999,53400000
4,13,20,116.11,,55.75762,37.56955,106344568
2,12,14,39,9,55.99691166,37.18931085,8204000
1,3,17,90,12.5,55.80992999,37.48256996,39500000
1,5,9,40.36,,55.79743002,37.61488007,23998016
3,13,14,39.4,9,55.81784702,37.65060354,14000000
2,3,3,41.8,14.9,55.48839742,36.91566489,6000000
,11,17,52,16.4,55.57524,37.44965,17900000
1,19,26,71,,55.841679,37.49450138,21900000
1,2,25,29.8,,55.78881093,37.47448209,11500000
5,9,12,48,9,55.87556,37.52523997,11700000
1,5,8,60,,55.75107001,37.65077003,74900000
1,7,8,135.4,27.7,55.66667,37.75,64175000
4,2,24,97,,55.88706,37.57908,43753000
,17,17,38,8,55.60957563,37.69753437,9300000
2,21,25,89,20,55.57524,37.44965,17950000
,3,17,72.7,,55.68263522,37.57964398,27500000
1,22,47,101,17.9,55.64424259,37.5081159,41500000
5,7,14,40,10,55.87580002,37.71568997,10285000
1,17,17,43.55,13.4,55.78761575,37.69922975,26877590
5,23,23,44,9.8,55.86903,37.54426001,13650000
3,6,10,85,10,55.81051002,37.64067001,31999000
1,5,25,38.8,16,55.75599362,37.50587366,21200000
1,41,51,84.1,30,55.7589944,37.52258375,32500000
1,10,19,75.7,10.2,55.71494089,37.63333943,31499999
5,5,12,45,6,55.67682001,37.67284998,12500000
,,,,,-1,-1,
,5,5,43,5.3,55.77165001,37.56990998,17900000
1,5,6,31.94,3.3,55.57524,37.44965,9515233
4,22,22,37.6,16,55.82357,37.44621,19123265
3,4,9,35,9,55.65156476,37.58962511,11550000
,,,,,-1,-1,
4,3,5,120,15,55.82357,37.44621,40000000
1,16,18,77,,55.7503,37.46887,83016083
1,23,25,60,7,55.82672445,37.4231721,20900000
1,10,27,73.8,,55.81034115,37.64515481,26580050
5,4,12,39,7,55.83779,37.6498,13000000
5,12,25,40.5,11.5,55.84961,37.35257,15300000
1,15,24,39,10,55.88393,37.69976,10000000
2,4,22,98,10.6,55.54874,37.54954003,24000000
,,,,,-1,-1,
3,1,9,39,6.9,55.77759644,37.61166779,15000000
2,4,5,40.52,13.5,55.45470686,37.28708343,7500000
3,4,8,34.4,6,55.7694007,37.65342756,27805830
2,5,9,45,6.3,55.86973999,37.61378002,10900000
1,20,30,108,18.3,55.76294592,37.50704302,48200000
3,3,5,30.3,6,55.85832907,37.66697857,9500000
,8,16,21,5,55.7514,37.68344998,7950000
2,6,19,56,8,55.63903,37.51954,20500000
1,13,21,36.2,13.7,55.57524,37.44965,10631725
5,17,24,56,,55.59768,37.67118,18000000
,1,16,55,7.9,55.69515436,37.82012717,12300000
1,10,17,32.9,9.8,55.57524,37.44965,8432197
2,3,12,79.4,8.4,55.79848999,37.39541996,21000000
,5,21,76.1,9.4,55.72584999,37.43068003,23699000
,11,14,36.2,9.5,55.77835,37.63860999,18500000
1,34,42,94.8,7.1,55.68432,37.44654,38997180
2,9,9,44.9,6.4,55.58006091,37.6623825,9999999
4,14,29,79,6.6,55.67404,37.64452,38935782
2,16,17,43,10,55.57166,37.47511501,9900000
2,8,9,45,6,55.70897694,37.47986177,12000000
1,10,20,36,11.9,55.77438,37.47205,25500000
2,2,16,46,12,55.72626964,37.39135638,12890000
4,7,13,78.5,10.5,55.53423,37.52838,19600000
1,14,25,46.5,16,55.71471324,37.47422664,30000000
5,2,14,35,10,55.87544497,37.55769927,10850000
1,3,7,126.9,14.2,55.74834761,37.62181657,241110000
1,50,55,42.3,21.5,55.79743002,37.61488007,28000000
4,8,11,168.8,,55.75719998,37.64956002,2.45E+15
1,1,18,105.8,,55.67956001,37.55031996,32500000
4,13,14,52,28.1,55.60782331,37.52544712,17680000
2,8,9,38,6,55.66473,37.56135,13900000
1,3,18,89.9,7,55.76159001,37.55411001,79000000
,14,14,76.7,12.8,55.82583,37.5256,25500000
1,17,24,45.9,12,55.59768,37.67118,11990000
1,19,25,40.98,,55.67749,37.76997,11197785
1,15,20,38,11,55.75348539,37.51618462,21000000
1,2,32,72,27,55.7503,37.46887,37000000
1,6,40,103,35,55.66643998,37.54745,59500000
1,34,35,41.88,15.8,55.7590326,37.55900032,25054600
